VERTREK VEER,VERTREK VEER,VERTREK VEER,VERTREK VEER
LINKEROEVER,HET STEEN NAAR,LINKEROEVER,HET STEEN NAAR
NAAR HET STEEN,LINKEROEVER,NAAR HET STEEN,LINKEROEVER
7:00,7:15,10:00,10:15
7:30,7:45,10:30,10:45
8:00,8:15,11:00,11:15
8:30,8:45,11:30,11:45
9:00,9:15,12:00,12:15
9:30,9:45,12:30,12:45
10:00,10:15,13:00,13:15
10:30,10:45,13:30,13:45
11:00,11:15,14:00,14:15
11:30,11:45,14:30,14:45
12:00,12:15,15:00,15:15
12:30,12:45,15:30,15:45
13:00,13:15,16:00,16:15
13:30,13:45,16:30,16:45
14:00,14:15,17:00,17:15
14:30,14:45,17:30,17:45
15:00,15:15,18:00,18:15
15:30,15:45,18:30,18:45
16:00,16:15,19:00,19:15
16:30,16:45,19:30,19:45
17:00,17:15,20:00,20:15
17:30,17:45,20:30,20:45
18:00,18:15,21:00,21:15
